['bright', 'green', 'action', 'black', 'dark']
['field', 'river', 'ground', 'rocks', 'large']
['showing', 'yellow', 'bathroom', 'vintage', 'black']
['truck', 'pickup', 'parked', 'parking', 'lot']
['group', 'performing', 'women', 'baseball', 'holding']
['overhead', 'blue', 'sign', 'white', 'clean']
['people', 'group', 'crowd', 'man', 'event']
['scissors', 'sign', 'eyes', 'dark', 'black']
['wheel', 'car', 'parked', 'grill', 'black']
['man', 'picture', 'person', 'sky', 'baseball']
['blurry', 'sky', 'walks', 'bright', 'rain']
['skate', 'plants', 'wall', 'track', 'area']
['showing', 'picture', 'sign', 'bird', 'ripe']
['round', 'bowls', 'bowl', 'inside', 'counter']
['phone', 'talking', 'man', 'cell', 'tie']
['bun', 'doughnuts', 'closeup', 'orange', 'sitting']
['round', 'cat', 'pink', 'flowers', 'white']
['man', 'suit', 'tie', 'wearing', 'picture']
['eyes', 'purple', 'blue', 'bright', 'bathroom']
['man', 'sign', 'sheets', 'umbrella', 'writing']
['photo', 'man', 'white', 'couple', 'person']
['painting', 'disc', 'picture', 'man', 'wearing']
['man', 'sign', 'close', 'picture', 'wearing']
['cell', 'phone', 'person', 'smart', 'cellphone']
['scissors', 'red', 'giraffes', 'bag', 'black']
['picture', 'beach', 'gear', 'holding', 'umbrella']
['screen', 'bathroom', 'book', 'birds', 'snowy']
['bag', 'doughnuts', 'signs', 'cover', 'writing']
['women', 'woman', 'sitting', 'girls', 'people']
['pictures', 'picture', 'photo', 'vintage', 'showing']
['grass', 'rest', 'middle', 'outside', 'black']
['man', 'swimming', 'standing', 'wearing', 'holding']
['pastries', 'donuts', 'doughnuts', 'different', 'types']
['snow', 'snowy', 'holding', 'jacket', 'overhead']
['picture', 'dark', 'showing', 'photo', 'photograph']
['screen', 'showing', 'paper', 'lays', 'tracks']
['blue', 'rug', 'room', 'couch', 'sitting']
['white', 'image', 'background', 'sitting', 'surface']
['sign', 'display', 'scissors', 'cover', 'office']
['smart', 'bathroom', 'bright', 'picture', 'showing']
['red', 'car', 'parked', 'engine', 'bush']
['pink', 'laptop', 'people', 'seated', 'picture']
['screen', 'sign', 'hitting', 'bunch', 'dogs']
['picture', 'player', 'says', 'vintage', 'drawn']
['bird', 'flight', 'showing', 'birds', 'picture']
['clock', 'city', 'row', 'motorcycles', 'large']
['red', 'man', 'standing', 'holding', 'cluttered']
['bananas', 'man', 'sitting', 'couple', 'street']
['sign', 'black', 'carpet', 'gray', 'white']
['tie', 'feeding', 'man', 'little', 'mans']
['photo', 'black', 'holding', 'photograph', 'man']
['mountain', 'rocky', 'rock', 'rocks', 'desert']
['sign', 'hydrant', 'parking', 'red', 'purple']
['bathroom', 'bird', 'picture', 'office', 'background']
['man', 'woman', 'sitting', 'guy', 'ladies']
['face', 'picture', 'shown', 'phone', 'showing']
['car', 'parking', 'parked', 'red', 'sale']
['bathroom', 'things', 'airplane', 'picture', 'smart']
['white', 'black', 'hair', 'brushing', 'man']
['people', 'group', 'crowd', 'airport', 'standing']
['directions', 'red', 'racing', 'dogs', 'bunch']
['clocks', 'picture', 'book', 'paper', 'bathroom']
['large', 'covered', 'ramp', 'white', 'store']
['airplane', 'hillside', 'happy', 'nose', 'large']
['man', 'glasses', 'wearing', 'camera', 'looking']
['bathroom', 'showing', 'picture', 'vintage', 'traffic']
['bear', 'smaller', 'teddy', 'stuffed', 'wearing']
['party', 'people', 'group', 'pictures', 'crowd']
['crowd', 'people', 'group', 'player', 'photo']
['brick', 'young', 'woman', 'walkway', 'standing']
['sign', 'closed', 'picture', 'match', 'orange']
['street', 'standing', 'buildings', 'busy', 'man']
['train', 'building', 'store', 'cloudy', 'sign']
['bird', 'road', 'middle', 'edge', 'birds']
['man', 'standing', 'wearing', 'black', 'posing']
['man', 'right', 'holding', 'hands', 'posing']
['set', 'airplanes', 'line', 'device', 'sky']
['man', 'bow', 'wearing', 'posing', 'camera']
['catcher', 'dark', 'purple', 'eyes', 'bright']
['flower', 'pictures', 'smart', 'appliances', 'picture']
['jump', 'silver', 'blue', 'nice', 'black']
['sign', 'posing', 'man', 'wearing', 'tie']
['different', 'sky', 'closeup', 'blue', 'flying']
['photos', 'cabinet', 'shows', 'filled', 'pictures']
['head', 'young', 'wearing', 'girl', 'posing']
['white', 'black', 'picture', 'silver', 'photo']
['teeth', 'phone', 'holding', 'woman', 'person']
['picture', 'showing', 'man', 'people', 'photo']
['cloudy', 'blurry', 'view', 'distance', 'giraffe']
['man', 'wearing', 'holding', 'standing', 'himself']
['people', 'group', 'men', 'table', 'sitting']
['sign', 'restaurant', 'sitting', 'night', 'hanging']
['sign', 'women', 'sitting', 'posing', 'crowd']
['ladies', 'posing', 'women', 'people', 'snowy']
['showing', 'left', 'signs', 'mouse', 'white']
['sitting', 'small', 'chair', 'white', 'standing']
['sitting', 'table', 'black', 'wooden', 'set']
['group', 'people', 'standing', 'crowd', 'boys']
['posing', 'suits', 'standing', 'men', 'man']
['dog', 'small', 'standing', 'white', 'dogs']
['white', 'car', 'beach', 'parked', 'sitting']
['woman', 'women', 'standing', 'people', 'holding']
['woman', 'posing', 'girl', 'pretty', 'hair']
['man', 'posing', 'smiling', 'camera', 'dress']
['blue', 'purple', 'tower', 'flying', 'book']
['sheep', 'picture', 'photo', 'various', 'showing']
['standing', 'woman', 'photos', 'group', 'asian']
['bathroom', 'picture', 'throw', 'skateboard', 'flying']
['pictures', 'man', 'men', 'baseball', 'device']
['bus', 'cover', 'parked', 'street', 'city']
['women', 'woman', 'posing', 'sitting', 'phone']
['smiling', 'glasses', 'happy', 'smile', 'smiles']
['ear', 'man', 'purple', 'wearing', 'white']
['train', 'vehicles', 'car', 'clean', 'cars']
['brightly', 'sitting', 'filled', 'lots', 'bottles']
['frisbee', 'dirty', 'sign', 'held', 'poses']
['green', 'sitting', 'bunch', 'black', 'bush']
['showing', 'picture', 'cover', 'woman', 'photo']
['red', 'baseball', 'double', 'beer', 'race']
['clock', 'large', 'face', 'structure', 'black']
['yellow', 'cover', 'directions', 'screen', 'happy']
['motorcycles', 'business', 'people', 'group', 'sign']
['soccer', 'playing', 'baseball', 'field', 'ball']
['woman', 'tie', 'girls', 'blue', 'women']
['man', 'table', 'cake', 'knife', 'young']
['use', 'picture', 'sign', 'black', 'photo']
['drawn', 'decorated', 'white', 'picture', 'covered']
['showing', 'photograph', 'different', 'vehicle', 'picture']
['car', 'sticking', 'parked', 'sitting', 'cars']
['shirt', 'young', 'controller', 'toothbrush', 'black']
['piece', 'eating', 'ground', 'table', 'stone']
['sailing', 'game', 'green', 'television', 'view']
['black', 'picture', 'stacked', 'microwave', 'happy']
['screen', 'bunch', 'ceiling', 'beneath', 'red']
['carrots', 'boarder', 'keyboard', 'scissors', 'sign']
['snow', 'road', 'covered', 'tent', 'skiing']
['shelf', 'various', 'colors', 'items', 'cat']
['red', 'vase', 'wine', 'flowers', 'glass']
['sky', 'scissors', 'commercial', 'says', 'closed']
['women', 'girls', 'woman', 'colors', 'red']
['sign', 'baseball', 'wooden', 'plate', 'topped']
['eyes', 'scissors', 'woman', 'pillows', 'face']
['yellow', 'jet', 'white', 'riding', 'large']
['train', 'highway', 'bridge', 'commuter', 'park']
['sign', 'young', 'sitting', 'posing', 'woman']
['bathroom', 'eyes', 'green', 'picture', 'toilet']
['performing', 'riding', 'swinging', 'player', 'bat']
['flags', 'man', 'tie', 'flag', 'wedding']
['man', 'suit', 'wearing', 'photograph', 'posing']
['green', 'young', 'teeth', 'shirt', 'small']
['yellow', 'black', 'sitting', 'pair', 'scissors']
['photos', 'pictures', 'man', 'picture', 'smart']
['sitting', 'man', 'monitor', 'laptop', 'men']
['brown', 'horse', 'man', 'walking', 'leading']
['blue', 'sign', 'court', 'player', 'types']
['yellow', 'bathroom', 'bright', 'mushrooms', 'green']
['parking', 'boarder', 'airplanes', 'room', 'floor']
['people', 'group', 'standing', 'home', 'crowded']
['different', 'group', 'paper', 'decorated', 'types']
['riders', 'group', 'crowd', 'uniforms', 'women']
['colorful', 'kites', 'flying', 'ear', 'lights']
['sea', 'commercial', 'motorcycle', 'sign', 'ripe']
['cover', 'snowboard', 'red', 'restaurant', 'snowboarding']
['vintage', 'control', 'picture', 'toy', 'sign']
['city', 'rain', 'rainy', 'umbrella', 'man']
['picture', 'screen', 'showing', 'bathroom', 'photo']
['man', 'showing', 'camera', 'smiling', 'picture']
['tie', 'young', 'man', 'face', 'talking']
['court', 'player', 'ball', 'women', 'playing']
['bathroom', 'clocks', 'eyes', 'includes', 'office']
['head', 'face', 'girl', 'woman', 'green']
['car', 'parked', 'motorcycle', 'curb', 'wire']
['bathroom', 'picture', 'vintage', 'bright', 'showing']
['picture', 'showing', 'bird', 'ripe', 'tan']
['men', 'man', 'holding', 'standing', 'hats']
['bathroom', 'counter', 'landing', 'sink', 'window']
['fancy', 'beneath', 'sign', 'gray', 'mouse']
['zebras', 'sky', 'black', 'picture', 'says']
['blurry', 'black', 'water', 'window', 'day']
['sign', 'displaying', 'picture', 'french', 'bathroom']
['sink', 'showing', 'screen', 'resting', 'scissors']
['woman', 'girl', 'pretty', 'lady', 'hair']
['scissors', 'dark', 'baseball', 'black', 'picture']
['slope', 'covered', 'rain', 'low', 'black']
['swing', 'sky', 'military', 'black', 'flag']
['picture', 'vintage', 'bathroom', 'pictures', 'snowy']
['holding', 'wearing', 'man', 'standing', 'male']
['sign', 'green', 'bird', 'says', 'paper']
['pink', 'beneath', 'purple', 'girls', 'sign']
['picture', 'touching', 'device', 'photograph', 'mans']
['blue', 'sign', 'signs', 'laid', 'street']
['tie', 'man', 'suit', 'wearing', 'posing']
['water', 'lake', 'body', 'man', 'standing']
['posing', 'man', 'neck', 'smiling', 'camera']
['sky', 'dark', 'red', 'man', 'background']
['bathroom', 'smart', 'picture', 'ship', 'perched']
['statue', 'building', 'tower', 'brick', 'large']
['bathroom', 'picture', 'sailing', 'bright', 'birds']
['man', 'clothes', 'picture', 'jumping', 'doing']
['laying', 'lying', 'baby', 'brush', 'face']
['sign', 'apple', 'cloudy', 'book', 'farm']
['eyes', 'bathroom', 'screen', 'sign', 'green']
['sky', 'plane', 'airplane', 'vintage', 'says']
['smart', 'phones', 'people', 'crowd', 'man']
['man', 'standing', 'racket', 'wall', 'holding']
['pillows', 'sign', 'bat', 'baseball', 'signal']
['hair', 'young', 'blue', 'baseball', 'woman']
['like', 'stuffed', 'yellow', 'sky', 'teddy']
['people', 'group', 'standing', 'man', 'men']
['man', 'talking', 'phone', 'cellphone', 'wearing']
['car', 'parked', 'road', 'near', 'street']
['hat', 'wearing', 'resting', 'man', 'person']
['car', 'vintage', 'cat', 'white', 'sitting']
['people', 'large', 'room', 'standing', 'group']
['scissors', 'picture', 'black', 'commuter', 'gray']
['sitting', 'painting', 'sign', 'monitor', 'tiled']
['ripe', 'picture', 'gray', 'black', 'sky']
['man', 'cell', 'holding', 'smiling', 'woman']
['bright', 'picture', 'turned', 'games', 'photograph']
['bus', 'subway', 'car', 'people', 'group']
['drawn', 'scissors', 'commercial', 'closeup', 'pink']
['holding', 'man', 'sitting', 'red', 'young']
['parked', 'black', 'tracks', 'center', 'old']
['table', 'sitting', 'glass', 'bananas', 'wine']
['sitting', 'laptop', 'man', 'men', 'working']
['cap', 'smiling', 'himself', 'wearing', 'hat']
['man', 'brushing', 'teeth', 'wearing', 'looking']
['fork', 'lying', 'laying', 'dirt', 'sitting']
['zebras', 'sign', 'writing', 'vintage', 'trunk']
['man', 'looking', 'phone', 'meter', 'standing']
['picture', 'woman', 'talking', 'ski', 'people']
['showing', 'picture', 'donut', 'woman', 'photo']
['hold', 'holding', 'sweater', 'soccer', 'man']
['black', 'showing', 'river', 'sand', 'man']
['race', 'motorcycles', 'motorcycle', 'lots', 'man']
['containers', 'food', 'plate', 'pepperoni', 'vegetables']
['woman', 'photograph', 'young', 'girl', 'wearing']
['picture', 'young', 'photo', 'boy', 'standing']
['purple', 'field', 'uniforms', 'glove', 'soccer']
['people', 'man', 'sitting', 'large', 'group']
['tie', 'man', 'suit', 'wearing', 'bow']
['ripe', 'bathroom', 'commuter', 'picture', 'floors']
['woman', 'standing', 'smiling', 'coat', 'posing']
['sitting', 'tie', 'eating', 'talking', 'ear']
['dark', 'buildings', 'photo', 'large', 'photograph']
['white', 'blue', 'half', 'throws', 'round']
['sign', 'posing', 'man', 'holding', 'teddy']
['posing', 'camera', 'woman', 'wearing', 'picture']
['paper', 'picture', 'bright', 'bathroom', 'sky']
['green', 'man', 'holding', 'face', 'sticking']
['surface', 'head', 'cat', 'lies', 'decorated']
['hair', 'smiling', 'young', 'holding', 'wearing']
['group', 'men', 'people', 'standing', 'bears']
['horses', 'game', 'birds', 'pictures', 'sunny']
['crowd', 'people', 'skateboarding', 'group', 'large']
['group', 'painting', 'doing', 'performing', 'sitting']
['says', 'sign', 'scissors', 'crossing', 'turn']
['black', 'night', 'dark', 'picture', 'photo']
['sweater', 'laptop', 'woman', 'displaying', 'picture']
['woman', 'posing', 'beautiful', 'pretty', 'women']
['vase', 'old', 'picture', 'drawn', 'skiing']
['clock', 'night', 'tower', 'city', 'large']
['shelf', 'appliances', 'television', 'smart', 'screen']
['wearing', 'racket', 'dress', 'red', 'woman']
['blue', 'stacked', 'showing', 'photograph', 'set']
['man', 'glasses', 'wearing', 'chocolate', 'shirt']
['woman', 'phone', 'cellphone', 'cell', 'girl']
['woman', 'red', 'sitting', 'bed', 'women']
['brushing', 'child', 'girl', 'young', 'teeth']
['wearing', 'racket', 'shorts', 'swinging', 'girl']
['ripe', 'bathroom', 'office', 'elephants', 'baseball']
['sign', 'trees', 'hillside', 'tracks', 'river']
['shop', 'photo', 'people', 'different', 'man']
['picture', 'man', 'photo', 'pictures', 'sky']
['bathroom', 'man', 'standing', 'looking', 'gold']
['smiling', 'posing', 'wearing', 'young', 'woman']
['bathroom', 'showing', 'resting', 'bright', 'appliances']
['man', 'tie', 'wearing', 'suit', 'picture']
['outfit', 'vase', 'screen', 'woods', 'sink']
['boarder', 'stacked', 'screen', 'clocks', 'sign']
['girls', 'group', 'beautiful', 'women', 'friends']
['doughnut', 'young', 'woman', 'donut', 'girl']
['event', 'posing', 'people', 'clothes', 'man']
['flock', 'drawn', 'vintage', 'stuff', 'old']
['man', 'fence', 'standing', 'yellow', 'person']
['red', 'scissors', 'commercial', 'high', 'jumps']
['performing', 'man', 'dark', 'trick', 'jumping']
['brushing', 'camera', 'girl', 'young', 'black']
['car', 'parked', 'racing', 'motorcycle', 'donut']
['device', 'different', 'screen', 'tv', 'picture']
['picture', 'outfit', 'different', 'stuffed', 'yellow']
['parking', 'parked', 'cars', 'lot', 'car']
['bathroom', 'showing', 'picture', 'vintage', 'cellphone']
['palm', 'holding', 'grey', 'bird', 'glass']
['skateboard', 'standing', 'young', 'holding', 'boy']
['sign', 'town', 'black', 'picture', 'gray']
['people', 'crowd', 'tennis', 'large', 'crowded']
['posing', 'woman', 'women', 'standing', 'people']
['bathroom', 'eyes', 'bright', 'vintage', 'picture']
['sky', 'photo', 'picture', 'items', 'black']
['black', 'dark', 'sign', 'photograph', 'seen']
['ripe', 'picture', 'gray', 'black', 'white']
['night', 'dark', 'traffic', 'red', 'light']
['standing', 'object', 'hands', 'person', 'day']
['sign', 'mountain', 'signs', 'showing', 'swing']
['night', 'city', 'lights', 'hotel', 'decorated']
['sunset', 'sun', 'lights', 'lot', 'hot']
['vintage', 'picture', 'scissors', 'sky', 'orange']
['tree', 'underneath', 'trees', 'beneath', 'grassy']
['man', 'apple', 'standing', 'ball', 'holding']
['baseball', 'game', 'blue', 'ball', 'man']
['young', 'boy', 'women', 'sitting', 'looking']
['tie', 'face', 'man', 'black', 'looking']
['table', 'cheese', 'sitting', 'plate', 'meat']
['man', 'talking', 'woman', 'phone', 'cell']
['sign', 'directions', 'reads', 'city', 'buildings']
['little', 'child', 'young', 'holding', 'boy']
['toddler', 'toys', 'book', 'tv', 'baby']
['screen', 'people', 'sky', 'tv', 'wave']
['cup', 'coffee', 'mug', 'donut', 'beneath']
['hair', 'man', 'model', 'boy', 'blue']
['beach', 'sandy', 'water', 'sand', 'ocean']
['computers', 'sitting', 'people', 'screen', 'seated']
['black', 'wearing', 'picture', 'man', 'holding']
['red', 'car', 'parked', 'parking', 'street']
['kites', 'drawn', 'pieces', 'flying', 'overhead']
['man', 'face', 'camera', 'smiling', 'close']
['ground', 'device', 'someones', 'sitting', 'rests']
['standing', 'posing', 'holding', 'photo', 'man']
['black', 'sitting', 'chairs', 'man', 'using']
['road', 'street', 'high', 'lines', 'near']
['stuffed', 'decorated', 'shaped', 'like', 'tree']
['hair', 'woman', 'forest', 'wearing', 'posing']
['bench', 'sitting', 'dog', 'chair', 'bear']
['sign', 'bathroom', 'things', 'eyes', 'screen']
['man', 'sign', 'ear', 'picture', 'talking']
['scissors', 'sign', 'yellow', 'bright', 'eyes']
['scissors', 'sign', 'dark', 'black', 'snowboarding']
['suits', 'business', 'man', 'ties', 'suit']
['woman', 'holding', 'cell', 'women', 'girl']
['man', 'black', 'woman', 'sitting', 'young']
['woman', 'girl', 'black', 'hair', 'young']
['ripe', 'smart', 'picture', 'laptop', 'screen']
['man', 'yellow', 'standing', 'board', 'men']
['screen', 'sign', 'blue', 'picture', 'high']
['sign', 'red', 'green', 'stop', 'different']
['sitting', 'man', 'laptop', 'bench', 'person']
['water', 'photos', 'parked', 'sitting', 'blue']
['kites', 'pictures', 'photos', 'colors', 'colorful']
['woman', 'brushing', 'girl', 'pretty', 'close']
['clocks', 'vintage', 'bright', 'showing', 'suitcases']
['bears', 'black', 'rocks', 'standing', 'dogs']
['pond', 'birds', 'swimming', 'river', 'water']
['vintage', 'scissors', 'commuter', 'picture', 'bathroom']
['traffic', 'features', 'picture', 'showing', 'blue']
['woman', 'cover', 'girl', 'hair', 'young']
['dark', 'stacked', 'screen', 'closed', 'clock']
['face', 'head', 'man', 'ear', 'phone']
['sign', 'bus', 'sitting', 'man', 'says']
['bushes', 'hydrant', 'lined', 'sidewalk', 'street']
['phone', 'man', 'cell', 'reads', 'holding']
['pictures', 'vehicle', 'picture', 'man', 'photo']
['pink', 'young', 'sitting', 'winter', 'holding']
['screen', 'event', 'tv', 'picture', 'men']
['scissors', 'screen', 'yellow', 'sitting', 'bear']
['red', 'man', 'wearing', 'hat', 'phone']
['ripe', 'sign', 'eyes', 'alongside', 'picture']
['phone', 'cellphone', 'woman', 'cell', 'man']
['rain', 'street', 'rainy', 'truck', 'road']
['pink', 'sign', 'old', 'purple', 'says']
['holding', 'picture', 'woman', 'man', 'smiling']
['party', 'holding', 'electric', 'wearing', 'young']
['baseball', 'bat', 'holding', 'player', 'ball']
['signs', 'sign', 'directions', 'display', 'different']
['standing', 'holding', 'boy', 'man', 'colorful']
['man', 'smiling', 'face', 'picture', 'tie']
['bike', 'sign', 'building', 'bicycle', 'outside']
['boarder', 'picture', 'black', 'smart', 'sky']
['dirty', 'metal', 'inside', 'old', 'laying']
['photos', 'sky', 'showing', 'clear', 'photo']
['branch', 'colored', 'ocean', 'sky', 'group']
['wall', 'arranged', 'displaying', 'includes', 'blue']
['man', 'holding', 'posing', 'picture', 'sunset']
['showing', 'scissors', 'photo', 'screen', 'bright']
['sweater', 'woman', 'lady', 'black', 'photo']
['water', 'beach', 'boat', 'near', 'floating']
['hair', 'scissors', 'black', 'neck', 'wearing']
['picture', 'photo', 'showing', 'takes', 'closed']
['man', 'happy', 'wearing', 'face', 'background']
['showing', 'man', 'cover', 'reads', 'picture']
['chairs', 'women', 'group', 'rackets', 'players']
['picture', 'perched', 'electric', 'paper', 'smart']
['scissors', 'picture', 'eyes', 'photo', 'black']
['pink', 'little', 'sign', 'teddy', 'small']
['old', 'sign', 'picture', 'racket', 'man']
['showing', 'ceiling', 'fancy', 'bathroom', 'bunch']
['beach', 'people', 'screen', 'flying', 'standing']
['screen', 'picture', 'photograph', 'blue', 'different']
['giraffes', 'group', 'hill', 'field', 'stand']
['posing', 'man', 'smiling', 'picture', 'photograph']
['blue', 'use', 'sky', 'sailing', 'flying']
['posing', 'sign', 'bathroom', 'woman', 'look']
['smart', 'picture', 'bathroom', 'screen', 'animals']
['dark', 'night', 'lights', 'bright', 'sitting']
['gray', 'sign', 'pillows', 'dark', 'snowboarding']
['picture', 'showing', 'photo', 'man', 'cellphone']
['laptop', 'man', 'woman', 'phone', 'shirt']
['player', 'baseball', 'game', 'players', 'playing']
['sign', 'baseball', 'gray', 'boarder', 'white']
['yellow', 'graffiti', 'sitting', 'wearing', 'painted']
['stop', 'cover', 'sign', 'rural', 'signs']
['woman', 'cellphone', 'talking', 'cell', 'phone']
['holding', 'woman', 'player', 'person', 'black']
['man', 'white', 'bed', 'wearing', 'woman']
['beach', 'sand', 'sandy', 'man', 'standing']
['signs', 'sign', 'posing', 'picture', 'sitting']
['people', 'group', 'crowd', 'field', 'standing']
['woman', 'green', 'wearing', 'poses', 'posing']
['man', 'smiling', 'head', 'face', 'close']
['screen', 'pipe', 'plant', 'showing', 'high']
['baseball', 'sign', 'clock', 'sky', 'says']
['surfboard', 'ocean', 'surf', 'dress', 'board']
['bathroom', 'picture', 'alongside', 'vintage', 'showing']
['blurry', 'green', 'person', 'holding', 'feet']
['sky', 'field', 'standing', 'people', 'near']
['donuts', 'row', 'lined', 'sitting', 'doughnuts']
['black', 'showing', 'picture', 'photo', 'air']
['painting', 'sitting', 'gear', 'striped', 'broccoli']
['young', 'wearing', 'white', 'tooth', 'posing']
['military', 'lights', 'track', 'red', 'covered']
['shaped', 'white', 'left', 'standing', 'red']
['sandwich', 'tomato', 'lettuce', 'plate', 'table']
['bike', 'black', 'yellow', 'air', 'skier']
['standing', 'holding', 'man', 'posing', 'men']
['eyes', 'sitting', 'bunch', 'container', 'banana']
['camera', 'smiling', 'girl', 'face', 'phone']
['signs', 'writing', 'sign', 'showing', 'different']
['car', 'silver', 'vintage', 'phone', 'photo']
['dog', 'french', 'laptop', 'small', 'brown']
['baseball', 'red', 'man', 'player', 'wearing']
['neck', 'tie', 'brushing', 'woman', 'dress']
['teddy', 'blanket', 'pink', 'bears', 'bear']
['doughnut', 'white', 'donut', 'look', 'jump']
['bird', 'screen', 'swimming', 'green', 'yellow']
['photos', 'pictures', 'showing', 'picture', 'vintage']
['bathroom', 'sitting', 'mirror', 'doorway', 'man']
['laying', 'blanket', 'head', 'woman', 'young']
['white', 'sign', 'carpet', 'fancy', 'leaves']
['baseball', 'players', 'group', 'row', 'uniforms']
['drawn', 'pink', 'picture', 'beach', 'family']
['bird', 'screen', 'swimming', 'nose', 'traveling']
['green', 'bright', 'like', 'sign', 'high']
['used', 'white', 'wearing', 'bow', 'cars']
['blue', 'eyes', 'bright', 'sign', 'white']
['man', 'picture', 'player', 'skate', 'holding']
['green', 'lights', 'highway', 'filled', 'blurry']
['woman', 'girls', 'women', 'girl', 'people']
['woman', 'man', 'standing', 'dark', 'looking']
['truck', 'car', 'pickup', 'parked', 'van']
['stacked', 'screen', 'signs', 'bunch', 'bathroom']
['bear', 'teddy', 'sitting', 'green', 'small']
['graffiti', 'man', 'sitting', 'wall', 'phone']
['books', 'wooden', 'desk', 'shelf', 'sitting']
['teddy', 'chair', 'cat', 'young', 'man']
['eyes', 'airplane', 'sky', 'flying', 'black']
['man', 'picture', 'phone', 'hands', 'cell']
['hanging', 'dog', 'office', 'picture', 'person']
['eyes', 'ear', 'sign', 'clock', 'bright']
['picture', 'showing', 'screen', 'air', 'left']
['posing', 'happy', 'baseball', 'sign', 'bunch']
['screen', 'showing', 'sign', 'picture', 'blue']
['flock', 'drawn', 'birds', 'grazing', 'zebras']
['player', 'baseball', 'holding', 'running', 'standing']
['woman', 'pretty', 'hair', 'girl', 'brushing']
['people', 'woman', 'group', 'enjoying', 'train']
['woman', 'girl', 'beautiful', 'wearing', 'hair']
['people', 'group', 'standing', 'asian', 'men']
['people', 'group', 'man', 'woman', 'kids']
['bathroom', 'ripe', 'gray', 'picture', 'silver']
['man', 'standing', 'woman', 'couple', 'dressed']
['colors', 'screen', 'flying', 'kites', 'pictures']
['bathroom', 'mirror', 'woman', 'phone', 'reflection']
['bathroom', 'bird', 'showing', 'gray', 'water']
['person', 'glasses', 'wine', 'holding', 'hands']
['man', 'woman', 'holding', 'cell', 'young']
['woman', 'posing', 'catch', 'black', 'young']
['man', 'standing', 'wearing', 'holding', 'red']
['television', 'tv', 'screen', 'men', 'talking']
['bowl', 'spoon', 'onions', 'food', 'mounted']
['man', 'pillows', 'skate', 'skateboard', 'board']
['man', 'old', 'standing', 'holding', 'river']
['sign', 'says', 'red', 'right', 'street']
['man', 'phone', 'sitting', 'holding', 'person']
['woman', 'girl', 'standing', 'holding', 'young']
['sign', 'man', 'posing', 'men', 'woman']
['sign', 'photo', 'baseball', 'picture', 'fancy']
['man', 'baseball', 'glove', 'wearing', 'player']
['sign', 'picture', 'wall', 'man', 'shaped']
['man', 'tennis', 'dress', 'phone', 'child']
['showing', 'old', 'clock', 'pretty', 'blue']
['sign', 'signs', 'smart', 'giving', 'blue']
['clocks', 'scissors', 'bright', 'resting', 'picture']
['parked', 'parking', 'yellow', 'bushes', 'wheel']
['enclosure', 'standing', 'fence', 'stands', 'window']
['jacket', 'sign', 'man', 'posing', 'umbrella']
['green', 'man', 'standing', 'game', 'person']
['player', 'man', 'brushing', 'male', 'ball']
['harbor', 'near', 'sitting', 'tracks', 'sky']
['potatoes', 'screen', 'clocks', 'racing', 'yellow']
['standing', 'bottles', 'blue', 'man', 'group']
['giraffes', 'uniforms', 'different', 'types', 'display']
['people', 'game', 'group', 'crowd', 'night']
['appliances', 'screen', 'photo', 'sticking', 'picture']
['pictures', 'photos', 'different', 'various', 'showing']
['pink', 'writing', 'cake', 'blurry', 'piece']
['commuter', 'bright', 'bathroom', 'vintage', 'picture']
['man', 'wearing', 'suit', 'picture', 'american']
['screen', 'monitor', 'shot', 'sitting', 'baked']
['remote', 'sign', 'bathroom', 'lines', 'bat']
['airplane', 'plane', 'airport', 'parked', 'runway']
['umbrellas', 'crowd', 'photo', 'filled', 'people']
['kitten', 'white', 'cat', 'cloth', 'sitting']
['playing', 'field', 'game', 'standing', 'soccer']
['gray', 'sign', 'black', 'picture', 'right']
['baseball', 'ball', 'player', 'photos', 'pitcher']
['woman', 'poses', 'posing', 'standing', 'holding']
['family', 'sitting', 'man', 'rides', 'kite']
['ripe', 'commuter', 'bathroom', 'picture', 'potatoes']
['shoes', 'pair', 'feet', 'tennis', 'wearing']
['hat', 'wearing', 'man', 'tie', 'sitting']
['group', 'men', 'people', 'standing', 'women']
['windows', 'decorative', 'yellow', 'lined', 'colorful']
['man', 'sitting', 'ledge', 'woman', 'table']
['pose', 'group', 'standing', 'photo', 'people']
['car', 'monitors', 'airplane', 'airport', 'station']
['face', 'close', 'looking', 'head', 'window']
['ripe', 'picture', 'eyes', 'sky', 'commuter']
['ripe', 'sign', 'smart', 'trunk', 'laptop']
['couch', 'room', 'sofa', 'living', 'lying']
['picture', 'high', 'sign', 'bright', 'girls']
['eyes', 'blue', 'skate', 'man', 'sign']
['woman', 'posing', 'box', 'man', 'holding']
['blue', 'airplane', 'green', 'plane', 'roll']
['bear', 'stuffed', 'wave', 'feeding', 'toy']
['nintendo', 'wii', 'video', 'phones', 'holding']
['sign', 'street', 'pole', 'road', 'attached']
['players', 'field', 'ball', 'baseball', 'game']
['sign', 'old', 'reads', 'restaurant', 'signs']
['wearing', 'man', 'pants', 'standing', 'walking']
['bag', 'sitting', 'box', 'boxes', 'table']
['ceiling', 'train', 'filled', 'hanging', 'group']
['smaller', 'water', 'river', 'large', 'walk']
['commercial', 'picture', 'snowboarding', 'sign', 'bear']
['tie', 'business', 'man', 'showing', 'suit']
['sky', 'blue', 'air', 'picture', 'image']
