['water', 'waters', 'dark', 'large', 'background']
['man', 'pictures', 'picture', 'photograph', 'photo']
['sitting', 'cat', 'paper', 'chair', 'oven']
['yellow', 'parked', 'car', 'black', 'cloth']
['photos', 'laptop', 'woman', 'pictures', 'picture']
['sign', 'player', 'stacked', 'swinging', 'swing']
['tarmac', 'sign', 'pink', 'boarder', 'purple']
['feet', 'airplane', 'toilet', 'vehicle', 'seat']
['bathroom', 'picture', 'vintage', 'bright', 'eyes']
['cow', 'zebras', 'person', 'horse', 'giant']
['like', 'items', 'sitting', 'image', 'bathroom']
['wearing', 'racket', 'shorts', 'swinging', 'red']
['birds', 'field', 'white', 'sitting', 'standing']
['games', 'phone', 'hands', 'cell', 'picture']
['sign', 'wall', 'red', 'small', 'apple']
['family', 'various', 'bunch', 'painting', 'smiling']
['pastry', 'wearing', 'young', 'posing', 'boy']
['commercial', 'sign', 'smart', 'picture', 'green']
['rain', 'trees', 'street', 'road', 'car']
['trees', 'snowy', 'snow', 'forest', 'lots']
['man', 'sunglasses', 'cap', 'glasses', 'wearing']
['white', 'picture', 'ripe', 'apple', 'photo']
['closeup', 'smart', 'ship', 'showing', 'lays']
['ripe', 'picture', 'bathroom', 'eyes', 'carpet']
['picture', 'eyes', 'showing', 'meter', 'photograph']
['brick', 'close', 'white', 'picture', 'says']
['woman', 'hair', 'dark', 'black', 'cell']
['eyes', 'purple', 'blue', 'bright', 'bathroom']
['old', 'sitting', 'cow', 'container', 'wall']
['woman', 'posing', 'girl', 'pretty', 'hair']
['shore', 'large', 'sign', 'green', 'ocean']
['cup', 'drink', 'coffee', 'mug', 'soup']
['sign', 'street', 'couple', 'road', 'kitchen']
['people', 'standing', 'pictures', 'picture', 'group']
['oven', 'black', 'sill', 'low', 'flying']
['overlooking', 'sitting', 'ocean', 'orange', 'soda']
['pictures', 'reads', 'eaten', 'different', 'dark']
['woman', 'girl', 'hair', 'tooth', 'brush']
['screen', 'tv', 'player', 'graffiti', 'surfing']
['man', 'talking', 'woman', 'standing', 'phone']
['picture', 'man', 'different', 'commercial', 'photo']
['showing', 'screen', 'pink', 'plant', 'dark']
['american', 'man', 'cellphone', 'holding', 'wearing']
['boarder', 'sign', 'town', 'black', 'stacked']
['man', 'picture', 'holding', 'happy', 'smiling']
['smile', 'pitcher', 'tennis', 'writing', 'box']
['screen', 'showing', 'seen', 'closeup', 'close']
['vintage', 'pictures', 'picture', 'alongside', 'photo']
['scissors', 'town', 'dark', 'black', 'sky']
['cat', 'grey', 'gray', 'eyes', 'sitting']
['people', 'large', 'city', 'crowd', 'street']
['showing', 'bathroom', 'screen', 'surfboard', 'clocks']
['vintage', 'bathroom', 'beneath', 'eyes', 'picture']
['scissors', 'photo', 'book', 'picture', 'different']
['sign', 'signs', 'little', 'holding', 'woman']
['sky', 'dark', 'showing', 'picture', 'different']
['stuff', 'showing', 'water', 'large', 'tv']
['laptop', 'blue', 'dark', 'lit', 'cup']
['screen', 'green', 'large', 'set', 'directions']
['orange', 'eyes', 'clothes', 'bright', 'cover']
['keyboard', 'computers', 'desk', 'equipment', 'laptop']
['man', 'men', 'people', 'wearing', 'business']
['young', 'pictures', 'boy', 'child', 'eyes']
['blue', 'commercial', 'holding', 'display', 'showing']
['ripe', 'picture', 'sign', 'says', 'commuter']
['man', 'standing', 'white', 'holding', 'wall']
['commercial', 'green', 'picture', 'white', 'black']
['man', 'table', 'phones', 'sitting', 'cell']
['sign', 'mountain', 'signs', 'showing', 'swing']
['street', 'sign', 'wall', 'screen', 'blue']
['wearing', 'business', 'man', 'gray', 'glasses']
['planes', 'parking', 'black', 'white', 'surface']
['snowy', 'picture', 'fancy', 'photo', 'snow']
['white', 'bird', 'picture', 'stuffed', 'drawn']
['red', 'sign', 'hillside', 'posing', 'baseball']
['picture', 'video', 'photos', 'air', 'decorated']
['man', 'sign', 'picture', 'photo', 'wearing']
['scissors', 'picture', 'commercial', 'sky', 'gray']
['farm', 'grassy', 'lush', 'field', 'green']
['picture', 'people', 'standing', 'man', 'photos']
['hand', 'writing', 'person', 'closeup', 'bird']
['restroom', 'scissors', 'pan', 'meter', 'metal']
['posing', 'suits', 'picture', 'smile', 'group']
['sky', 'commuter', 'flying', 'blue', 'photo']
['smart', 'bathroom', 'phone', 'cover', 'ship']
['bathroom', 'picture', 'commercial', 'eyes', 'placed']
['man', 'white', 'room', 'camera', 'looking']
['large', 'restroom', 'light', 'view', 'sun']
['picture', 'skier', 'airplanes', 'says', 'train']
['picture', 'book', 'showing', 'things', 'smart']
['cat', 'blue', 'black', 'sitting', 'white']
['wire', 'colorful', 'hanging', 'colored', 'sky']
['man', 'laptop', 'wall', 'box', 'bathroom']
['man', 'suit', 'wearing', 'talking', 'tv']
['screen', 'beach', 'surfing', 'controller', 'grazing']
['dog', 'white', 'brown', 'sitting', 'small']
['display', 'electronic', 'kinds', 'shop', 'different']
['suit', 'pitcher', 'giving', 'man', 'cover']
['car', 'parked', 'sitting', 'vintage', 'white']
['shirt', 'cell', 'man', 'wearing', 'phone']
['fancy', 'sign', 'bathroom', 'keyboard', 'bunch']
['man', 'wearing', 'picture', 'photo', 'sign']
['parking', 'boarder', 'airplanes', 'room', 'floor']
['ship', 'showing', 'picture', 'vehicle', 'animals']
['bathroom', 'picture', 'eyes', 'gray', 'cellphone']
['scissors', 'red', 'giraffes', 'bag', 'black']
['holding', 'man', 'knife', 'deep', 'person']
['perched', 'picture', 'bright', 'photo', 'plant']
['clocks', 'bathroom', 'vintage', 'alongside', 'cellphone']
['screen', 'showing', 'buildings', 'player', 'dark']
['man', 'wearing', 'old', 'glasses', 'purple']
['sitting', 'screen', 'hitting', 'piece', 'flock']
['pictures', 'ripe', 'photos', 'picture', 'bathroom']
['bathroom', 'picture', 'vintage', 'cellphone', 'clocks']
['pictures', 'photos', 'picture', 'showing', 'video']
['plants', 'garden', 'green', 'large', 'standing']
['sign', 'black', 'dark', 'baseball', 'alongside']
['man', 'wearing', 'cell', 'young', 'looking']
['riders', 'flowers', 'bears', 'snowboarding', 'nice']
['showing', 'white', 'sign', 'picture', 'female']
['blue', 'photograph', 'screen', 'broccoli', 'eyes']
['sandwich', 'hand', 'bun', 'person', 'holding']
['vase', 'highway', 'white', 'lit', 'large']
['red', 'standing', 'field', 'officer', 'skis']
['water', 'flower', 'graze', 'snowboarding', 'flock']
['cup', 'cats', 'food', 'close', 'cooking']
['man', 'skateboard', 'skate', 'standing', 'person']
['man', 'looking', 'standing', 'sitting', 'wearing']
['man', 'screen', 'standing', 'wearing', 'holding']
['vintage', 'cellphone', 'phone', 'picture', 'things']
['sign', 'people', 'atop', 'large', 'signs']
['group', 'ladies', 'women', 'people', 'team']
['pictures', 'laptop', 'showing', 'picture', 'people']
['grassy', 'park', 'field', 'bench', 'trees']
['camera', 'picture', 'restroom', 'posing', 'photo']
['woods', 'playing', 'standing', 'man', 'waits']
['dog', 'white', 'sitting', 'brown', 'large']
['black', 'parked', 'car', 'road', 'pickup']
['blue', 'sky', 'flying', 'airplane', 'dark']
['sign', 'gray', 'writing', 'hillside', 'closeup']
['book', 'sort', 'sitting', 'reading', 'table']
['appliances', 'wearing', 'picture', 'black', 'bat']
['bathroom', 'water', 'landing', 'cutting', 'wall']
['herd', 'book', 'elephants', 'water', 'showing']
['showing', 'photo', 'animals', 'picture', 'skis']
['zebras', 'picture', 'vintage', 'bathroom', 'photo']
['coffee', 'refrigerator', 'kitchen', 'microwave', 'cup']
['sign', 'black', 'gray', 'dark', 'leaning']
['blurry', 'stainless', 'shot', 'person', 'row']
['multiple', 'close', 'filled', 'yellow', 'bunch']
['sky', 'sailing', 'flying', 'different', 'airplane']
['screen', 'appliances', 'showing', 'photograph', 'passenger']
['game', 'field', 'playing', 'green', 'people']
['man', 'sitting', 'arm', 'young', 'woman']
['large', 'row', 'filled', 'people', 'sitting']
['bunch', 'dirty', 'pillows', 'oranges', 'clocks']
['water', 'man', 'young', 'standing', 'holding']
['bathroom', 'flying', 'picture', 'cover', 'ship']
['hydrant', 'stacked', 'painting', 'lots', 'horse']
['sky', 'bird', 'picture', 'wearing', 'man']
['showing', 'screen', 'photograph', 'ice', 'picture']
['pictures', 'skateboard', 'eaten', 'vintage', 'chips']
['man', 'talking', 'ear', 'standing', 'picture']
['dark', 'sign', 'hillside', 'eyes', 'photograph']
['sign', 'pole', 'highway', 'held', 'metal']
['screen', 'showing', 'picture', 'sign', 'photo']
['picture', 'bathroom', 'laptop', 'bright', 'smart']
['man', 'men', 'smiling', 'hats', 'older']
['sky', 'bright', 'flying', 'picture', 'pictures']
['screen', 'showing', 'turn', 'ice', 'flying']
['scissors', 'branches', 'computers', 'laptop', 'bicycle']
['mushrooms', 'bird', 'things', 'close', 'flying']
['people', 'group', 'crowd', 'busy', 'ties']
['green', 'sky', 'tall', 'land', 'trees']
['screen', 'black', 'gray', 'signal', 'purse']
['flock', 'television', 'tv', 'stall', 'structure']
['showing', 'pictures', 'picture', 'photograph', 'screen']
['pan', 'pie', 'antique', 'shown', 'sitting']
['black', 'white', 'picture', 'sky', 'scissors']
['woman', 'smiling', 'blue', 'smile', 'picture']
['showing', 'bathroom', 'picture', 'scissors', 'screen']
['cakes', 'decorated', 'cake', 'sale', 'table']
['picture', 'photo', 'vintage', 'alongside', 'bright']
['bear', 'pictures', 'ear', 'white', 'fresh']
['shelf', 'holding', 'cup', 'container', 'cake']
['tree', 'underneath', 'trees', 'beneath', 'grassy']
['picture', 'pictures', 'person', 'photos', 'showing']
['different', 'purple', 'colors', 'multiple', 'screen']
['potatoes', 'scissors', 'sign', 'smart', 'commercial']
['beach', 'woman', 'ball', 'girl', 'female']
['child', 'playing', 'little', 'boy', 'young']
['sign', 'woman', 'man', 'shopping', 'smiling']
['dark', 'blurry', 'night', 'lit', 'sky']
['green', 'red', 'small', 'pink', 'tree']
['flock', 'water', 'ocean', 'animals', 'snow']
['sign', 'dark', 'black', 'closed', 'large']
['lid', 'mouse', 'bowl', 'cut', 'board']
['photos', 'picture', 'photo', 'talking', 'pictures']
['beach', 'cap', 'wearing', 'woman', 'young']
['commercial', 'sky', 'yellow', 'white', 'pole']
['pasture', 'riding', 'dark', 'blue', 'bird']
['woman', 'teeth', 'picture', 'mother', 'lying']
['dark', 'man', 'shade', 'holding', 'standing']
['bathroom', 'sign', 'airplane', 'picture', 'photograph']
['picture', 'ripe', 'black', 'background', 'eyes']
['laptop', 'sitting', 'open', 'book', 'desk']
['bathroom', 'eyes', 'placed', 'office', 'picture']
['television', 'tv', 'surfers', 'screen', 'men']
['bathroom', 'picture', 'snowy', 'phone', 'showing']
['photos', 'pictures', 'showing', 'picture', 'surfers']
['man', 'ear', 'eyes', 'picture', 'scissors']
['screen', 'green', 'commercial', 'smart', 'different']
['painting', 'motorcycles', 'wooded', 'view', 'red']
['hanging', 'wall', 'room', 'mounted', 'tv']
['pictures', 'people', 'photos', 'group', 'picture']
['tie', 'suit', 'wearing', 'man', 'posing']
['man', 'tie', 'sunglasses', 'wearing', 'screen']
['appliances', 'player', 'different', 'types', 'cars']
['field', 'standing', 'cows', 'grass', 'animals']
['black', 'ocean', 'towel', 'white', 'displayed']
['sheep', 'color', 'picture', 'luggage', 'case']
['standing', 'holding', 'man', 'smiling', 'picture']
['wheel', 'sitting', 'black', 'sink', 'sit']
['toy', 'sitting', 'set', 'beer', 'christmas']
['picture', 'sky', 'man', 'air', 'showing']
['bed', 'sheets', 'sitting', 'bottles', 'pillows']
['food', 'cup', 'coffee', 'table', 'plate']
['dark', 'bright', 'black', 'sky', 'eyes']
['people', 'hats', 'restaurant', 'group', 'white']
['ripe', 'picture', 'eyes', 'gray', 'sky']
['wearing', 'hat', 'cover', 'smiling', 'picture']
['overlooking', 'road', 'view', 'ocean', 'bus']
['uniform', 'suit', 'man', 'blue', 'woman']
['playing', 'boys', 'ball', 'young', 'game']
['harbor', 'showing', 'commuter', 'bird', 'birds']
['construction', 'white', 'window', 'hole', 'use']
['standing', 'picture', 'pictures', 'smaller', 'large']
['sitting', 'paper', 'white', 'scissors', 'table']
['device', 'road', 'night', 'dark', 'showing']
['photos', 'cover', 'items', 'sitting', 'assortment']
['scissors', 'commercial', 'statue', 'picture', 'skateboard']
['ripe', 'picture', 'bright', 'photo', 'traffic']
['dog', 'small', 'water', 'ocean', 'brown']
['picture', 'sign', 'smart', 'photo', 'traffic']
['flying', 'sky', 'kite', 'field', 'flies']
['cover', 'picture', 'old', 'swinging', 'man']
['court', 'sign', 'blurry', 'scissors', 'closeup']
['sand', 'water', 'river', 'lake', 'bench']
['sign', 'showing', 'city', 'screen', 'racing']
['ripe', 'sign', 'bathroom', 'book', 'green']
['screen', 'perched', 'showing', 'bathroom', 'picture']
['branch', 'vegetable', 'sink', 'air', 'white']
['decorative', 'decorated', 'pitcher', 'includes', 'pretty']
['black', 'large', 'photo', 'dark', 'picture']
['pictures', 'appliances', 'screen', 'banana', 'picture']
['pictures', 'laid', 'line', 'lined', 'donuts']
['screen', 'showing', 'appliances', 'picture', 'sticking']
['rug', 'man', 'group', 'person', 'holding']
['airplane', 'plane', 'jet', 'parked', 'sitting']
['flock', 'picture', 'bathroom', 'bright', 'flying']
['cabinet', 'ceiling', 'sign', 'luggage', 'monitor']
['man', 'tv', 'men', 'television', 'screen']
['woman', 'black', 'photo', 'white', 'vintage']
['clocks', 'picture', 'ceiling', 'bright', 'stacked']
['dress', 'picture', 'animal', 'sign', 'writing']
['man', 'posing', 'shirt', 'holds', 'holding']
['picture', 'old', 'face', 'wearing', 'holding']
['clocks', 'sheet', 'gray', 'cellphone', 'book']
['people', 'red', 'man', 'women', 'sitting']
['market', 'soda', 'lots', 'table', 'multiple']
['field', 'grass', 'young', 'standing', 'group']
['smiling', 'posing', 'women', 'pose', 'group']
['showing', 'picture', 'vintage', 'smart', 'mouse']
['car', 'parked', 'sitting', 'air', 'white']
['showing', 'commuter', 'picture', 'screen', 'sticking']
['girls', 'picture', 'sign', 'center', 'pink']
['light', 'dark', 'baked', 'room', 'lit']
['sign', 'black', 'baseball', 'dark', 'eyes']
['sign', 'business', 'showing', 'screen', 'box']
['kitchen', 'bus', 'tour', 'street', 'stop']
['man', 'picture', 'person', 'bathroom', 'hands']
['bright', 'lit', 'sign', 'zebras', 'night']
['phone', 'cell', 'mirror', 'bathroom', 'smart']
['truck', 'pickup', 'parked', 'road', 'white']
['man', 'posing', 'laptop', 'smiling', 'staring']
['surfboard', 'flying', 'ocean', 'sky', 'person']
['bright', 'green', 'television', 'set', 'view']
['bathroom', 'picture', 'snowy', 'smart', 'ski']
['bunch', 'apple', 'picture', 'plain', 'hot']
['pizza', 'table', 'sitting', 'cheese', 'sits']
['screen', 'different', 'black', 'pictures', 'photo']
['picture', 'sign', 'showing', 'woman', 'phone']
['swing', 'fancy', 'toddler', 'clock', 'sitting']
['showing', 'passenger', 'appliances', 'silver', 'shot']
['pictures', 'picture', 'photo', 'showing', 'takes']
['picture', 'standing', 'man', 'white', 'shirt']
['ripe', 'turn', 'various', 'dog', 'yellow']
['sign', 'signs', 'street', 'store', 'reads']
['man', 'person', 'child', 'young', 'holding']
['field', 'green', 'park', 'grassy', 'water']
['sign', 'baseball', 'ear', 'things', 'scissors']
['man', 'looking', 'smiling', 'device', 'net']
['pool', 'remote', 'beneath', 'turned', 'white']
['wearing', 'cell', 'man', 'hat', 'phone']
['sign', 'scissors', 'paper', 'sheet', 'says']
['black', 'ripe', 'photo', 'sky', 'dark']
['elephants', 'plain', 'lone', 'riding', 'wave']
['showing', 'bathroom', 'stacked', 'picture', 'sign']
['ties', 'signs', 'bathroom', 'man', 'device']
['room', 'using', 'people', 'standing', 'desk']
['sign', 'action', 'stop', 'animal', 'writing']
['man', 'posing', 'happy', 'picture', 'standing']
['man', 'phone', 'face', 'holding', 'cell']
['holding', 'picture', 'woman', 'man', 'smiling']
['woman', 'phone', 'standing', 'cell', 'posing']
['cars', 'car', 'traffic', 'vehicles', 'parked']
['book', 'phone', 'woman', 'wearing', 'man']
['stuffed', 'signs', 'bird', 'sign', 'man']
['poses', 'wearing', 'green', 'shirt', 'pants']
['black', 'photo', 'showing', 'picture', 'multiple']
['baseball', 'picture', 'court', 'showing', 'photo']
['picture', 'showing', 'perched', 'sky', 'bright']
['showing', 'clocks', 'picture', 'black', 'bird']
['refrigerator', 'drinks', 'food', 'open', 'inside']
['hand', 'person', 'holding', 'persons', 'sitting']
['clocks', 'sky', 'group', 'bunch', 'blue']
['sign', 'signs', 'zebras', 'screen', 'showing']
['lays', 'book', 'sitting', 'showing', 'bird']
['television', 'tv', 'screen', 'picture', 'player']
['standing', 'animals', 'close', 'horses', 'horse']
['sign', 'picture', 'appliances', 'half', 'donut']
['sign', 'yellow', 'street', 'signs', 'night']
['bathroom', 'eyes', 'alongside', 'picture', 'clocks']
['store', 'shelf', 'lots', 'bottles', 'laying']
['man', 'glasses', 'camera', 'wearing', 'posing']
['feet', 'restroom', 'mans', 'sitting', 'lap']
['stuff', 'books', 'table', 'chocolate', 'sitting']
['vintage', 'picture', 'kites', 'alongside', 'pictures']
['holding', 'dark', 'black', 'person', 'hand']
['street', 'city', 'walking', 'umbrella', 'crossing']
['ties', 'brushing', 'someones', 'pillow', 'toilet']
['man', 'wearing', 'hat', 'baseball', 'sitting']
['blue', 'purple', 'happy', 'sign', 'table']
['bed', 'subway', 'sandwiches', 'commuter', 'sitting']
['baseball', 'sign', 'look', 'hands', 'different']
['racket', 'happy', 'sweater', 'sign', 'holding']
['pictures', 'photos', 'color', 'showing', 'picture']
['doorway', 'girl', 'baby', 'young', 'hair']
['picture', 'flower', 'photo', 'animals', 'apples']
['man', 'glasses', 'picture', 'reads', 'posing']
['standing', 'man', 'holding', 'people', 'beer']
['vintage', 'showing', 'clocks', 'bathroom', 'mouse']
['bathroom', 'clocks', 'cellphone', 'vintage', 'phone']
['party', 'bag', 'box', 'pillow', 'soda']
['man', 'glasses', 'looking', 'black', 'himself']
['scissors', 'dark', 'black', 'picture', 'bright']
['screen', 'showing', 'picture', 'waters', 'sandy']
['bird', 'bathroom', 'picture', 'showing', 'wood']
['young', 'bear', 'baby', 'picture', 'girl']
['smiling', 'woman', 'man', 'young', 'camera']
['sky', 'perched', 'blue', 'flying', 'kite']
['tv', 'black', 'green', 'set', 'closed']
['television', 'monitor', 'tv', 'view', 'flying']
['video', 'wedding', 'bowls', 'palm', 'woods']
['cat', 'laying', 'black', 'pillow', 'sitting']
['man', 'photo', 'talking', 'standing', 'young']
['green', 'building', 'parked', 'sitting', 'parking']
['decorated', 'green', 'tray', 'large', 'lights']
['woman', 'lays', 'girl', 'white', 'laying']
['winter', 'swing', 'old', 'building', 'metal']
['man', 'people', 'standing', 'suitcase', 'picture']
['picture', 'sky', 'gray', 'white', 'ripe']
['surface', 'sitting', 'silver', 'plain', 'counter']
['people', 'group', 'men', 'standing', 'man']
['green', 'orange', 'various', 'picture', 'close']
['keyboard', 'sitting', 'boy', 'hand', 'camera']
['man', 'people', 'standing', 'group', 'person']
['flying', 'painting', 'different', 'group', 'people']
['perched', 'appliances', 'picture', 'ripe', 'vintage']
['man', 'mirror', 'control', 'racket', 'wearing']
['reads', 'flock', 'white', 'photo', 'bird']
['green', 'blue', 'sitting', 'table', 'cup']
['green', 'screen', 'tv', 'bright', 'picture']
['bird', 'flying', 'lays', 'closeup', 'plane']
['man', 'dogs', 'ties', 'tan', 'sign']
['commuter', 'showing', 'bright', 'skateboard', 'clocks']
['dark', 'vase', 'commercial', 'red', 'lights']
['sky', 'high', 'picture', 'bright', 'white']
['eyes', 'purple', 'blue', 'bright', 'bathroom']
['man', 'face', 'looking', 'cell', 'camera']
['sign', 'white', 'wire', 'house', 'says']
['man', 'cover', 'wearing', 'bed', 'photo']
['posing', 'standing', 'man', 'wearing', 'men']
['paper', 'picture', 'bright', 'bathroom', 'sky']
['blue', 'wood', 'sign', 'dark', 'ocean']
['stuffed', 'doing', 'showing', 'picture', 'vintage']
['people', 'group', 'man', 'sitting', 'dry']
['photos', 'picture', 'photo', 'talking', 'pictures']
['clocks', 'picture', 'different', 'variety', 'vintage']
['bathroom', 'room', 'sitting', 'light', 'air']
['pictures', 'sunglasses', 'man', 'photos', 'picture']
['different', 'sky', 'closeup', 'blue', 'flying']
['posing', 'woman', 'smiling', 'girl', 'sitting']
['bathroom', 'screen', 'showing', 'perched', 'bird']
['orange', 'signs', 'stacked', 'screen', 'road']
['smiling', 'posing', 'holding', 'standing', 'dark']
['teddy', 'window', 'stuffed', 'painting', 'bear']
['flock', 'closeup', 'picture', 'shaped', 'close']
['dark', 'black', 'sign', 'scissors', 'picture']
['bathroom', 'eyes', 'office', 'bird', 'picture']
['pictures', 'photos', 'picture', 'smart', 'showing']
['man', 'young', 'looking', 'shirt', 'wearing']
['pictures', 'bags', 'streets', 'animals', 'meter']
['tie', 'sign', 'bow', 'standing', 'smiling']
['man', 'suit', 'tie', 'wearing', 'blue']
['pictures', 'photos', 'picture', 'different', 'showing']
['close', 'pastry', 'sitting', 'wrapped', 'cheese']
['picture', 'bright', 'silver', 'black', 'background']
['showing', 'sky', 'dark', 'tv', 'screen']
['eyes', 'bathroom', 'mouse', 'restroom', 'bright']
['road', 'sky', 'traffic', 'swings', 'center']
['wearing', 'hats', 'man', 'head', 'older']
['cars', 'parked', 'near', 'lot', 'car']
['picture', 'woman', 'girl', 'face', 'image']
['orange', 'carrots', 'bus', 'street', 'sitting']
['photos', 'placed', 'picture', 'display', 'items']
['flying', 'plane', 'air', 'airplane', 'green']
['bathroom', 'town', 'gray', 'bird', 'commuter']
['sign', 'photo', 'black', 'picture', 'white']
['picture', 'suit', 'man', 'photo', 'wearing']
['bunch', 'table', 'tray', 'mug', 'sitting']
['eyes', 'showing', 'picture', 'sign', 'vintage']
['cheese', 'net', 'food', 'racket', 'display']
['riding', 'small', 'standing', 'statue', 'glass']
['dark', 'photo', 'cloudy', 'bright', 'bird']
['man', 'showing', 'games', 'picture', 'photo']
['wire', 'white', 'horse', 'wearing', 'small']
['black', 'reaching', 'green', 'photo', 'wearing']
['cat', 'black', 'sitting', 'sits', 'window']
['beach', 'ocean', 'water', 'sand', 'flying']
['airplane', 'tarmac', 'runway', 'plane', 'airport']
['blue', 'closeup', 'close', 'wearing', 'person']
['sign', 'shorts', 'pointing', 'surfing', 'pose']
['photos', 'pictures', 'picture', 'showing', 'party']
['blue', 'screen', 'woman', 'talking', 'laptop']
['scissors', 'commercial', 'picture', 'black', 'gray']
['commercial', 'scissors', 'black', 'picture', 'gray']
['woman', 'girl', 'picture', 'face', 'green']
['picture', 'commuter', 'colors', 'pictures', 'eyes']
['night', 'birds', 'city', 'railing', 'lots']
['blue', 'wheel', 'flies', 'car', 'parked']
['pictures', 'picture', 'showing', 'photo', 'blue']
['sitting', 'table', 'candles', 'people', 'birthday']
['man', 'wearing', 'hat', 'uniform', 'black']
['car', 'bed', 'parked', 'bedroom', 'parking']
['ocean', 'person', 'riding', 'water', 'trees']
['picture', 'things', 'smart', 'flock', 'flying']
['appliances', 'screen', 'photo', 'sticking', 'picture']
['man', 'picture', 'showing', 'wearing', 'photograph']
['palm', 'hand', 'holding', 'small', 'person']
['vintage', 'pictures', 'picture', 'yellow', 'stuffed']
['picture', 'vintage', 'shot', 'showing', 'appliances']
['bird', 'waters', 'showing', 'banana', 'picture']
['sign', 'town', 'black', 'picture', 'gray']
['lone', 'striped', 'green', 'baseball', 'bird']
['sign', 'red', 'bear', 'baseball', 'pitcher']
['screen', 'sign', 'showing', 'book', 'picture']
['dog', 'standing', 'brown', 'white', 'black']
['man', 'holding', 'white', 'woman', 'holds']
['train', 'painted', 'yellow', 'green', 'white']
['clocks', 'statue', 'drawn', 'house', 'rides']
['face', 'jacket', 'forest', 'dark', 'bun']
['showing', 'signs', 'different', 'photo', 'screen']
['woman', 'face', 'games', 'pretty', 'cell']
['smiling', 'posing', 'photograph', 'picture', 'photo']
['vintage', 'picture', 'showing', 'various', 'paper']
['pictures', 'picture', 'hydrant', 'woman', 'partially']
['man', 'standing', 'surfer', 'person', 'jacket']
['showing', 'device', 'set', 'different', 'picture']
['picture', 'bird', 'bathroom', 'banana', 'showing']
['man', 'glasses', 'scissors', 'picture', 'posing']
['woman', 'women', 'holding', 'man', 'standing']
['flock', 'graffiti', 'sky', 'poles', 'signs']
['curtain', 'striped', 'blue', 'face', 'white']
['video', 'game', 'bathroom', 'ceiling', 'sign']
['container', 'drink', 'pasta', 'cup', 'sitting']
['blue', 'bush', 'bright', 'airplane', 'purple']
['player', 'pitcher', 'palm', 'someones', 'players']
['room', 'center', 'sitting', 'multiple', 'different']
['scissors', 'dark', 'pillows', 'make', 'sign']
['clocks', 'bathroom', 'cellphone', 'eyes', 'picture']
['woman', 'girl', 'sign', 'sheet', 'book']
['black', 'sign', 'baseball', 'white', 'right']
['man', 'wearing', 'red', 'picture', 'posing']
['bathroom', 'showing', 'sign', 'blue', 'sky']
['screen', 'stuffed', 'smart', 'paper', 'blue']
['ripe', 'picture', 'scissors', 'eyes', 'bathroom']
['eyes', 'man', 'pillow', 'picture', 'sign']
['flying', 'fly', 'airplanes', 'high', 'blue']
['green', 'holding', 'lawn', 'woman', 'person']
['blue', 'piece', 'pole', 'sitting', 'black']
['sky', 'picture', 'commuter', 'photo', 'gray']
['sign', 'displaying', 'picture', 'french', 'bathroom']
['man', 'suit', 'tie', 'wearing', 'photo']
['showing', 'picture', 'screen', 'skateboard', 'clocks']
['talking', 'man', 'phone', 'picture', 'pictures']
['hair', 'scissors', 'woman', 'teeth', 'girl']
['sign', 'eyes', 'blue', 'smart', 'green']
['photograph', 'white', 'man', 'woman', 'face']
['sailing', 'sign', 'blue', 'eyes', 'green']
['sky', 'plane', 'night', 'air', 'dark']
['sign', 'black', 'dark', 'purple', 'dry']
['group', 'lots', 'large', 'baseball', 'people']
['man', 'shirt', 'face', 'camera', 'looking']
['blanket', 'bunch', 'wall', 'umbrella', 'black']
['man', 'jacket', 'head', 'boy', 'young']
['bathroom', 'picture', 'snowy', 'vintage', 'showing']
['men', 'man', 'business', 'standing', 'smiling']
['bathroom', 'beneath', 'eyes', 'showing', 'book']
['kites', 'bright', 'animals', 'smart', 'sky']
['sailing', 'multiple', 'types', 'dark', 'scissors']
['tv', 'male', 'sign', 'racket', 'man']
['man', 'glasses', 'smiling', 'window', 'looking']
['smart', 'picture', 'bathroom', 'screen', 'showing']
['man', 'sign', 'tie', 'guy', 'holding']
['red', 'blue', 'picture', 'holding', 'sitting']
['sign', 'closed', 'dark', 'sky', 'overhead']
['screen', 'sign', 'green', 'bathroom', 'eyes']
['wire', 'sign', 'photo', 'picture', 'bunch']
['people', 'different', 'fun', 'cloudy', 'girls']
['wearing', 'man', 'picture', 'uniform', 'holding']
['picture', 'showing', 'mother', 'pictures', 'cover']
['sign', 'man', 'riding', 'street', 'people']
['sign', 'gray', 'eyes', 'bunch', 'stacked']
['group', 'drinking', 'party', 'games', 'men']
['picture', 'dark', 'photograph', 'woods', 'black']
['showing', 'bathroom', 'tan', 'mouse', 'bird']
['swinging', 'pictures', 'picture', 'screen', 'trunk']
['man', 'camera', 'eyes', 'dark', 'black']
['scissors', 'dark', 'bunch', 'large', 'white']
['photos', 'motorcycles', 'pictures', 'restroom', 'clocks']
['picture', 'pictures', 'taken', 'reflection', 'commuter']
['ripe', 'bathroom', 'bright', 'alongside', 'eyes']
['type', 'floors', 'pillows', 'gray', 'sign']
['man', 'staring', 'smile', 'hair', 'looking']
['lights', 'island', 'steel', 'large', 'area']
['tower', 'blue', 'green', 'sky', 'broccoli']
['smart', 'picture', 'showing', 'vintage', 'bathroom']
['hanging', 'brightly', 'wall', 'sign', 'decorated']
['colors', 'screen', 'appliances', 'showing', 'flying']
